"minute","x","Control","A","B","w","n","a"
3604,10.0431314502694,15.100388134054,29.999986181509,19.9568547312395,1.99139013340399,19.9930719851487,1.99999969197112
3605,10.0465064209143,15.1003881281008,29.9999861695528,19.9534797486385,1.9907181526371,19.9930440873719,1.99999969196253
3606,10.0498813862579,15.1003881208145,29.9999861549376,19.9501047686797,1.99004639862545,19.993013921708,1.99999969195323
3607,10.0532563460958,15.1003881121889,29.9999861376513,19.9467297915556,1.98937487129253,19.9929814892919,1.99999969194324
3608,10.0566313002213,15.1003881022169,29.9999861176795,19.9433548174582,1.98870357056184,19.9929467912541,1.99999969193255
3609,10.0600062484257,15.10038809089,29.9999860950055,19.9399798465798,1.98803249635692,19.9929098287201,1.99999969192117
3610,10.0633811904977,15.1003880781986,29.9999860696103,19.9366048791126,1.98736164860132,19.992870602811,1.99999969190908
3611,10.0667561262238,15.1003880641321,29.9999860414726,19.9332299152488,1.98669102721864,19.9928291146427,1.9999996918963
3612,10.0701310553882,15.1003880486786,29.9999860105689,19.9298549551807,1.98602063213249,19.9927853653267,1.99999969188282
3613,10.0735059777726,15.100388031825,29.999985976873,19.9264799991004,1.98535046326651,19.9927393559694,1.99999969186864
3614,10.0768808931564,15.1003880135569,29.9999859403566,19.9231050472002,1.98468052054435,19.9926910876723,1.99999969185377
3615,10.0802558013165,15.1003879938587,29.9999859009888,19.9197300996723,1.98401080388971,19.9926405615321,1.9999996918382
3616,10.0836307020272,15.1003879727138,29.9999858587361,19.9163551567089,1.9833413132263,19.99258777864,1.99999969182193
3617,10.0870055950606,15.100387950104,29.9999858135627,19.9129802185022,1.98267204847786,19.9925327400826,1.99999969180497
3618,10.0903804801857,15.1003879260099,29.99998576543,19.9096052852444,1.98200300956817,19.992475446941,1.99999969178731
3619,10.0937553571692,15.1003879004108,29.9999857142969,19.9062303571277,1.98133419642101,19.9924159002909,1.99999969176896
3620,10.0971302257751,15.1003878732846,29.9999856601194,19.9028554343443,1.98066560896019,19.9923541012028,1.99999969174991
3621,10.1005050857645,15.1003878446078,29.999985602851,19.8994805170864,1.97999724710958,19.9922900507417,1.99999969173017
3622,10.1038799368957,15.1003878143555,29.9999855424421,19.8961056055463,1.97932911079302,19.9922237499667,1.99999969170973
3623,10.1072547789241,15.1003877825013,29.9999854788403,19.8927306999161,1.97866119993443,19.9921551999315,1.99999969168859
3624,10.1106296116022,15.1003877490174,29.9999854119903,19.8893558003881,1.97799351445771,19.9920844016836,1.99999969166677
3625,10.1140044346793,15.1003877138744,29.9999853418337,19.8859809071544,1.97732605428682,19.9920113562649,1.99999969164424
3626,10.1173792479017,15.1003876770412,29.9999852683089,19.8826060204072,1.97665881934573,19.9919360647106,1.99999969162103
3627,10.1207540510124,15.1003876384854,29.9999851913511,19.8792311403387,1.97599180955843,19.9918585280502,1.99999969159711
3628,10.1241288437511,15.1003875981725,29.9999851108923,19.8758562671412,1.97532502484896,19.9917787473062,1.99999969157251
3629,10.127503625854,15.1003875560665,29.9999850268608,19.8724814010068,1.97465846514135,19.9916967234947,1.99999969154721
3630,10.1308783970541,15.1003875121298,29.9999849391817,19.8691065421277,1.97399213035968,19.991612457625,1.99999969152122
3631,10.1342531570803,15.1003874663227,29.9999848477764,19.8657316906961,1.97332602042806,19.9915259506993,1.99999969149453
3632,10.1376279056581,15.1003874186038,29.9999847525622,19.8623568469041,1.97266013527061,19.9914372037126,1.99999969146715
3633,10.1410026425091,15.1003873689295,29.9999846534531,19.858982010944,1.97199447481147,19.9913462176524,1.99999969143908
3634,10.1443773673506,15.1003873172545,29.9999845503587,19.855607183008,1.97132903897484,19.9912529934987,1.99999969141031
3635,10.1477520798963,15.1003872635312,29.9999844431845,19.8522323632882,1.9706638276849,19.9911575322233,1.99999969138085
3636,10.1511267798552,15.1003872077099,29.999984331832,19.8488575519769,1.9699988408659,19.9910598347902,1.9999996913507
3637,10.154501466932,15.1003871497389,29.9999842161981,19.8454827492661,1.96933407844208,19.9909599021547,1.99999969131985
3638,10.1578761408269,15.1003870895638,29.999984096175,19.8421079553481,1.96866954033771,19.9908577352636,1.99999969128831
3639,10.1612508012354,15.1003870271282,29.9999839716505,19.838733170415,1.96800522647712,19.9907533350546,1.99999969125608
3640,10.164625447848,15.1003869623729,29.9999838425071,19.8353583946591,1.96734113678462,19.9906467024562,1.99999969122316
3641,10.1680000803502,15.1003868952364,29.9999837086227,19.8319836282724,1.96667727118458,19.9905378383871,1.99999969118954
3642,10.1713746984222,15.1003868256545,29.9999835698694,19.8286088714472,1.96601362960137,19.9904267437564,1.99999969115523
3643,10.1747493017387,15.1003867535602,29.9999834261143,19.8252341243756,1.96535021195941,19.9903134194626,1.99999969112023
3644,10.1781238899688,15.1003866788835,29.9999832772186,19.8218593872498,1.96468701818311,19.9901978663937,1.99999969108454
3645,10.1814984627757,15.1003866015518,29.9999831230377,19.818484660262,1.96402404819696,19.9900800854267,1.99999969104815
3646,10.1848730198165,15.1003865214891,29.9999829634207,19.8151099436042,1.96336130192541,19.9899600774269,1.99999969101107
3647,10.1882475607419,15.1003864386164,29.9999827982106,19.8117352374687,1.962698779293,19.989837843248,1.9999996909733
3648,10.1916220851962,15.1003863528512,29.9999826272438,19.8083605420476,1.96203648022424,19.9897133837313,1.99999969093484
3649,10.1949965928165,15.1003862641078,29.9999824503495,19.8049858575331,1.9613744046437,19.9895866997052,1.99999969089568
3650,10.1983710832331,15.1003861722966,29.9999822673503,19.8016111841173,1.96071255247597,19.989457791985,1.99999969085583
3651,10.2017455560687,15.1003860773246,29.999982078061,19.7982365219923,1.96005092364566,19.9893266613721,1.99999969081529
3652,10.2051200109385,15.1003859790946,29.9999818822888,19.7948618713503,1.95938951807739,19.9891933086536,1.99999969077406
3653,10.2084944474494,15.1003858775057,29.9999816798328,19.7914872323835,1.95872833569585,19.9890577346019,1.99999969073213
3654,10.2118688652001,15.1003857724525,29.9999814704841,19.7881126052839,1.9580673764257,19.9889199399735,1.99999969068951
3655,10.2152432637807,15.1003856638254,29.9999812540245,19.7847379902438,1.95740664019167,19.9887799255093,1.9999996906462
3656,10.2186176427721,15.1003855515101,29.9999810302273,19.7813633874552,1.95674612691849,19.9886376919331,1.9999996906022
3657,10.2219920017459,15.1003854353877,29.9999807988561,19.7779887971103,1.95608583653092,19.9884932399516,1.9999996905575
3658,10.2253663402637,15.1003853153342,29.9999805596648,19.7746142194011,1.95542576895376,19.9883465702532,1.99999969051211
3659,10.2287406578769,15.1003851912207,29.9999803123968,19.7712396545199,1.95476592411182,19.9881976835074,1.99999969046603
3660,10.2321149541264,15.1003850629126,29.9999800567851,19.7678651026587,1.95410630192994,19.9880465803642,1.99999969041925
3661,10.2354892285418,15.1003849302699,29.9999797925515,19.7644905640097,1.95344690233298,19.9878932614531,1.99999969037179
3662,10.2388634806411,15.1003847931468,29.9999795194061,19.761116038765,1.95278772524583,19.9877377273823,1.99999969032363
3663,10.2422377099304,15.1003846513912,29.9999792370471,19.7577415271166,1.95212877059341,19.9875799787378,1.99999969027477
3664,10.2456119159029,15.1003845048448,29.9999789451597,19.7543670292568,1.95147003830067,19.9874200160824,1.99999969022522
3665,10.2489860980388,15.1003843533426,29.9999786434163,19.7509925453775,1.95081152829255,19.987257839955,1.99999969017498
3666,10.2523602558044,15.1003841967128,29.9999783314754,19.7476180756709,1.95015324049407,19.987093450869,1.99999969012404
3667,10.2557343886518,15.1003840347762,29.999978008981,19.7442436203292,1.94949517483023,19.9869268493119,1.99999969007241
3668,10.2591084960181,15.1003838673462,29.9999776755623,19.7408691795443,1.94883733122608,19.9867580357437,1.99999969002009
3669,10.2624825773246,15.1003836942281,29.9999773308329,19.7374947535083,1.94817970960668,19.9865870105959,1.99999968996707
3670,10.2658566319763,15.1003835152193,29.9999769743898,19.7341203424135,1.94752230989713,19.9864137742702,1.99999968991336
3671,10.2692306593613,15.1003833301083,29.9999766058131,19.7307459464518,1.94686513202254,19.9862383271371,1.99999968985895
3672,10.2726046588497,15.1003831386748,29.999976224665,19.7273715658153,1.94620817590807,19.9860606695347,1.99999968980384
3673,10.2759786297929,15.100382940689,29.999975830489,19.7239972006962,1.94555144147887,19.9858808017675,1.99999968974805
3674,10.2793525715229,15.1003827359114,29.9999754228093,19.7206228512864,1.94489492866014,19.9856987241041,1.99999968969155
3675,10.2827264833514,15.1003825240921,29.9999750011295,19.717248517778,1.9442386373771,19.9855144367765,1.99999968963436
3676,10.2861003645687,15.1003823049707,29.999974564932,19.7138742003632,1.94358256755499,19.9853279399779,1.99999968957647
3677,10.2894742144429,15.1003820782753,29.9999741136769,19.710499899234,1.94292671911909,19.9851392338612,1.99999968951789
3678,10.2928480322187,15.1003818437226,29.999973646801,19.7071256145824,1.94227109199469,19.9849483185372,1.99999968945861
3679,10.2962218171164,15.1003816010167,29.9999731637168,19.7037513466004,1.94161568610711,19.9847551940724,1.99999968939863
3680,10.299595568331,15.1003813498491,29.9999726638113,19.7003770954802,1.94096050138169,19.9845598604873,1.99999968933795
3681,10.3029692850308,15.1003810898978,29.9999721464446,19.6970028614138,1.9403055377438,19.9843623177542,1.99999968927657
3682,10.306342966356,15.1003808208268,29.9999716109493,19.6936286445932,1.93965079511885,19.9841625657951,1.9999996892145
3683,10.3097166114178,15.1003805422852,29.9999710566283,19.6902544452105,1.93899627343224,19.9839606044789,1.99999968915173
3684,10.3130902192966,15.1003802539069,29.9999704827543,19.6868802634577,1.93834197260943,19.9837564336198,1.99999968908826
3685,10.3164637890409,15.1003799553097,29.9999698885677,19.6835060995268,1.93768789257589,19.9835500529738,1.99999968902408
3686,10.3198373196657,15.1003796460944,29.9999692732755,19.6801319536098,1.93703403325711,19.9833414622369,1.99999968895921
3687,10.3232108101509,15.1003793258441,29.9999686360497,19.6767578258988,1.93638039457862,19.9831306610415,1.99999968889363
3688,10.3265842594394,15.1003789941234,29.9999679760251,19.6733837165858,1.93572697646596,19.9829176489541,1.99999968882736
3689,10.3299576664357,15.1003786504777,29.9999672922984,19.6700096258628,1.9350737788447,19.9827024254715,1.99999968876038
3690,10.3333310300039,15.1003782944317,29.9999665839257,19.6666355539218,1.93442080164044,19.9824849900183,1.9999996886927
3691,10.3367043489659,15.1003779254892,29.9999658499206,19.6632615009547,1.9337680447788,19.9822653419428,1.99999968862431
3692,10.340077622099,15.1003775431313,29.9999650892527,19.6598874671537,1.93311550818544,19.9820434805138,1.99999968855522
3693,10.3434508481342,15.1003771468159,29.9999643008449,19.6565134527107,1.93246319178601,19.9818194049165,1.99999968848543
3694,10.3468240257536,15.1003767359764,29.9999634835713,19.6531394578177,1.93181109550622,19.9815931142488,1.99999968841493
3695,10.3501971535883,15.1003763100203,29.9999626362549,19.6497654826666,1.93115921927179,19.9813646075169,1.99999968834372
3696,10.3535702302157,15.1003758683282,29.9999617576652,19.6463915274495,1.93050756300846,19.9811338836309,1.9999996882718
3697,10.3569432541571,15.1003754102525,29.9999608465154,19.6430175923583,1.92985612664202,19.9809009414002,1.99999968819918
3698,10.3603162238746,15.1003749351156,29.9999599014596,19.639643677585,1.92920491009825,19.9806657795287,1.99999968812585
3699,10.3636891377685,15.1003744422091,29.9999589210901,19.6362697833216,1.92855391330298,19.9804283966096,1.99999968805181
3700,10.3670619941743,15.1003739307916,29.9999579039343,19.6328959097599,1.92790313618206,19.9801887911198,1.99999968797705
3701,10.3704347913592,15.1003734000878,29.9999568484513,19.629522057092,1.92725257866135,19.9799469614146,1.99999968790159
3702,10.3738075275189,15.1003728492859,29.9999557530288,19.6261482255099,1.92660224066676,19.9797029057213,1.99999968782541
3703,10.377180200774,15.1003722775366,29.9999546159794,19.6227744152054,1.92595212212421,19.9794566221332,1.99999968774852
3704,10.3805528091662,15.1003716839508,29.9999534355367,19.6194006263705,1.92530222295965,19.9792081086031,1.99999968767091
3705,10.3839253506545,15.1003710675979,29.9999522098517,19.6160268591971,1.92465254309904,19.9789573629357,1.99999968759258
3706,10.3872978231109,15.1003704275033,29.9999509369881,19.6126531138772,1.92400308246839,19.978704382781,1.99999968751354
3707,10.3906702243161,15.1003697626465,29.9999496149188,19.6092793906027,1.92335384099372,19.9784491656261,1.99999968743378
3708,10.3940425519547,15.1003690719588,29.9999482415202,19.6059056895654,1.92270481860108,19.9781917087873,1.99999968735329
3709,10.3974148036108,15.1003683543206,29.9999468145682,19.6025320109574,1.92205601521653,19.9779320094012,1.99999968727209
3710,10.4007869767623,15.1003676085591,29.9999453317327,19.5991583549704,1.92140743076618,19.977670064416,1.99999968719016
3711,10.4041590687758,15.1003668334455,29.9999437905723,19.5957847217965,1.92075906517614,19.9774058705821,1.99999968710751
